market,PID,PH NO,DATE,ORDER-SHIPPEDÅidays),Uploaded Weight,Actual Weighed Weight,Weight Variance
SA,469254,PH70897326106X,2026/7/22,5,5,5,1
SA,539725,PH74872061056S,2026/7/29,1,5,5,1
SA,468039,PH73838827571S,2026/7/28,3,5,5,1
SA,502630,PH78131336537S,2026/7/30,2,5,5,1
SA,72108,PH76119435854X,2026/7/30,3,5,5,1
SA,468039,PH79990589240S,2026/7/9,4,5,5,1
SA,468039,PH70676597840S,2026/7/25,1,5,5,1
SA,468039,PH76546904365S,2026/7/29,3,5,5,1
SA,485632,PH75131120314S,2026/7/30,2,5,5,1
AE,468039,PH74592653518A,2026/7/10,5,5,5,1
AE,469420,PH70883974673X,2026/7/12,1,5,5,1
SA,40543,PH79564074125S,2026/7/7,1,5,5,1
SA,557617,PH74996503121X,2026/7/17,2,5,5,1
SA,468039,PH73583934198S,2026/7/29,1,5,5,1
AE,378642,PH78399630242A,2026/7/25,2,5,5,1
SA,468039,PH75236769766S,2026/7/9,3,5,5,1
AE,537286,PH64888727013X,2026/7/2,3,5,5,1
SA,434344,PH73926386528X,2026/7/30,1,5,5,1
SA,378642,PH71790471375S,2026/7/28,1,5,5,1
SA,469024,PH70337847190S,2026/7/5,3,5,5,1
SA,468039,PH70417675098S,2026/7/30,5,5,5,1
SA,469024,PH75449879920S,2026/7/28,3,5,5,1
SA,468039,PH77411023195S,2026/7/29,2,5,5,1
SA,236101,PH72613007673X,2026/7/24,3,5,5,1
SA,378642,PH77600628975S,2026/7/10,2,5,5,1
AE,500055,PH70161284098A,2026/7/15,1,5,5,1
SA,468039,PH72143982311S,2026/7/18,2,5,5,1
SA,468039,PH73029228205S,2026/7/30,2,5,5,1
SA,468039,PH78813085725S,2026/7/30,3,5,5,1
SA,468039,PH72667751915S,2026/7/30,2,5,5,1
SA,485105,PH77971181702S,2026/7/29,2,5,5,1
SA,468039,PH74539091105S,2026/7/29,2,5,5,1
SA,468039,PH76415153359S,2026/7/12,2,5,5,1
AE,517623,PH61194594800A,2026/7/4,2,5,5,1
SA,378642,PH70994206093S,2026/7/30,2,5,5,1
SA,468039,PH74465409864S,2026/7/26,1,5,5,1
SA,468039,PH70414266138S,2026/7/9,3,5,5,1
AE,40543,PH73442988332A,2026/7/5,1,5,5,1
SA,468039,PH77549181743S,2026/7/30,3,5,5,1
AE,540379,PH75957013902X,2026/7/30,6,5,5,1
SA,468039,PH72582729155S,2026/7/9,2,5,5,1
SA,468039,PH76509562085S,2026/7/28,3,5,5,1
AE,468039,PH64541806248A,2026/7/3,2,5,5,1
SA,378642,PH73376475520S,2026/7/28,1,5,5,1
SA,12816,PH72984146097X,2026/7/4,0,5,5,1
AE,533314,PH74892020196X,2026/7/28,4,5,5,1
SA,378642,PH79663281788S,2026/7/28,3,5,5,1
SA,434344,PH76223987302X,2026/7/29,1,5,5,1
SA,378642,PH73436060896S,2026/7/27,1,5,5,1
SA,468039,PH72500246283S,2026/7/9,2,5,5,1
AE,554996,PH77199260547X,2026/7/22,7,5,5,1
SA,468039,PH74067357629S,2026/7/9,2,5,5,1
SA,468039,PH78861783639S,2026/7/27,3,5,5,1
AE,469024,PH73462292503A,2026/7/17,2,5,5,1
SA,482946,PH79955700203X,2026/7/28,1,5,5,1
SA,468039,PH73699838414S,2026/7/30,2,5,5,1
SA,468039,PH79136065977S,2026/7/29,2,5,5,1
AE,527845,PH78939398135X,2026/7/28,4,5,5,1
SA,485632,PH70374801024S,2026/7/10,3,5,5,1
SA,552893,PH78654917354X,2026/7/30,1,5,5,1
SA,468039,PH73055775683S,2026/7/28,6,5,5,1
SA,500055,PH79296044691S,2026/7/30,1,5,5,1
SA,485632,PH61917825947S,2026/7/4,2,5,5,1
SA,468039,PH79394017126S,2026/7/9,2,5,5,1
SA,468039,PH70342095242S,2026/7/9,2,5,5,1
AE,378642,PH70343594175A,2026/7/9,1,5,5,1
SA,468039,PH77018023550S,2026/7/29,1,5,5,1
SA,468039,PH75225208579S,2026/7/30,2,5,5,1
SA,450378,PH77166501743X,2026/7/30,1,5,5,1
SA,123643,PH71784393576X,2026/7/30,3,5,5,1
SA,468039,PH74225784683S,2026/7/3,1,5,5,1
SA,468039,PH70243756089S,2026/7/16,1,5,5,1
SA,468039,PH75696508898S,2026/7/30,3,5,5,1
SA,468039,PH74956713997S,2026/7/27,3,5,5,1
AE,468039,PH74481784946A,2026/7/22,2,5,5,1
SA,378642,PH78231953936S,2026/7/30,3,5,5,1
SA,468039,PH73409627751S,2026/7/29,3,5,5,1
SA,468039,PH71243754350S,2026/7/28,2,5,5,1
SA,468039,PH69279053704S,2026/7/4,7,5,5,1
SA,540379,PH71442165676X,2026/7/4,2,5,5,1
SA,529877,PH76531324352X,2026/7/9,4,5,5,1
SA,41567,PH76724562504S,2026/7/30,2,5,5,1
SA,549736,PH74437245010X,2026/7/30,5,5,5,1
SA,468039,PH70483883508S,2026/7/30,2,5,5,1
SA,513767,PH71045247311X,2026/7/29,1,5,5,1
SA,524773,PH71336849765S,2026/7/29,2,5,5,1
SA,468039,PH78918637862S,2026/7/21,3,5,5,1
SA,532966,PH71347174594X,2026/7/10,2,5,5,1
AE,536702,PH72788706882X,2026/7/11,2,5,5,1
AE,533314,PH76056212147X,2026/7/24,5,5,5,1
SA,468039,PH75848459666S,2026/7/18,2,5,5,1
AE,485632,PH75161616321A,2026/7/17,2,5,5,1
SA,378642,PH76787853617S,2026/7/30,3,5,5,1
SA,468039,PH73807855975S,2026/7/3,2,5,5,1
AE,468039,PH63080377298A,2026/7/8,22,5,5,1
SA,72362,PH79578514361X,2026/7/30,3,5,5,1
SA,524773,PH71091561755X,2026/7/30,2,5,5,1
AE,313105,PH77966504412X,2026/7/12,2,5,5,1
SA,378642,PH74568538443S,2026/7/30,2,5,5,1
SA,123637,PH73782130146X,2026/7/30,3,5,5,1
SA,468039,PH75828170589S,2026/7/30,2,5,5,1
SA,378642,PH70818408498S,2026/7/4,3,5,5,1
SA,16205,PH78648167424S,2026/7/29,2,5,5,1
SA,500055,PH72393134693S,2026/7/30,1,5,5,1
SA,532094,PH74619790150S,2026/7/9,1,5,5,1
